"FRAME_ID"	"CHEBI_ID"	"CHEBI_NAME"	"SYNONYMS"	"SMILES"	"NAMES"	"DBLINKS"
"CPD-592"	"CHEBI:15728"	"4-guanidinobutanoic acid"	"gamma-guanidinobutyrate$4-guanidinobutanoate"	"C(O)(=O)CCCNC(=N)N"	"4-guanidinobutyrate$gamma-guanidinobutyrate$4-guanidinobutanoate"	""
"CPD-299"	"CHEBI:15914"	"2-amino-4-oxopentanoic acid"	""	"CC(=O)CC(N)C(=O)O"	"2-amino-4-oxopentanoate"	"(CAS ""4439-83-2"")"
"CONIFERYL-ALCOHOL"	"CHEBI:17745"	"coniferol"	"coniferyl alcohol$4-hydroxy-3-methoxycinnamyl alcohol$3-(4-hydroxy-3-methoxyphenyl)-2-propen-1-ol$4-(3-hydroxy-1-propenyl)-2-methoxyphenol$gamma-hydroxyisoeugenol$coniferol"	"COc1(c(ccc(c1)C=CCO)O)"	"coniferyl alcohol$coniferyl alcohol$4-hydroxy-3-methoxycinnamyl alcohol$3-(4-hydroxy-3-methoxyphenyl)-2-propen-1-ol$4-(3-hydroxy-1-propenyl)-2-methoxyphenol$gamma-hydroxyisoeugenol$coniferol"	"(CAS ""458-35-5"")"
"DIHYDROLIPOAMIDE"	"CHEBI:17694"	"dihydrolipoamide"	""	"C(S)C[CH](S)CCCCC(N)=O"	"dihydrolipoamide"	"(LIGAND-CPD ""C00579"" NIL |kawakami| 3275858565 NIL NIL)"
"FECOSTEROL"	"CHEBI:17038"	"fecosterol"	"24-methylene-5alpha-cholest-8-en-3beta-ol"	"C=C(CCC(C)[CH]2(CC[CH]1(C3(CC[CH]4(CC(O)CCC(C)(C(CCC(C)12)=3)4)))))C(C)C"	"fecosterol$24-methylene-5alpha-cholest-8-en-3beta-ol"	"(PUBCHEM ""440371"" NIL |hopkinso| 3317071486 NIL NIL)"
"ERGOSTEROL"	"CHEBI:16933"	"ergosterol"	"provitamin D2"	"CC(C)C(C)C=CC(C)[CH]3(CC[CH]2(C4(=CC=C1(CC(O)CCC(C)1[CH](CCC(C)23)4))))"	"ergosterol$provitamin D2"	"(CAS ""57-87-4"")$(LIGAND-CPD ""C01694"" NIL |sreddy| 3298308043 NIL NIL)"
"STRICTOSIDINE"	"CHEBI:17559"	"3alpha(S)-strictosidine"	"3-alpha(S)-strictosidine"	"C=C[CH]4([CH](C[CH]3(c2(nc1(ccccc1c2CCN3))))C(C(=O)OC)=COC4OC5(OC(C(C(C5O)O)O)CO))"	"strictosidine$3-alpha(S)-strictosidine"	"(CAS ""20824-29-7"")"
"34-DIHYDROXYPHENYLACETALDEHYDE"	"CHEBI:27978"	"3,4-dihydroxyphenylacetaldehyde"	"protocatechuatealdehyde"	"C1(C(=CC=C(C(O)=1)O)CC=O)"	"3,4-dihydroxyphenylacetaldehyde$protocatechuatealdehyde"	"(PUBCHEM ""119219"" NIL |taltman| 3448034169 NIL NIL)$(LIGAND-CPD ""C04043"" NIL |sreddy| 3298309802 NIL NIL)"
"5-HYDROXYINDOLE_ACETALDEHYDE"	"CHEBI:50157"	"(5-hydroxyindol-3-yl)acetaldehyde"	""	"C1(NC2(C(C(CC=O)=1)=CC(=CC=2)O))"	"5-hydroxyindole acetaldehyde"	"(CHEBI ""50157"" NIL |taltman| 3452362912 NIL NIL)$(PUBCHEM ""74688"" NIL |taltman| 3448034169 NIL NIL)$(LIGAND-CPD ""C05634"" NIL |kr| 3410284650 NIL NIL)"
"PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE"	"CHEBI:28413"	"5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylic acid"	"1-(5-phosphoribosyl)-4-carboxy-5-aminoimidazole$5'-P-ribosyl-4-carboxy-5-aminoimidazole$5'-phosphoribosyl-4-carboxy-5-aminoimidazole$5-phosphoribosyl-4-carboxy-5-aminoimidazole$1-(5'-phosphoribosyl)-5-amino-4-imidazole carboxylate$1-(5'-phosphoribosyl)-4-carboxy-5-aminoimidazole$CAIR$5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate$phosphoribosyl-carboxy-aminoimidazole"	"c2(nc(c(N)n(C1(C(C(C(O1)COP(=O)(O)O)O)O))2)C(=O)O)"	"4-carboxyaminoimidazole ribonucleotide$1-(5-phosphoribosyl)-4-carboxy-5-aminoimidazole$5'-P-ribosyl-4-carboxy-5-aminoimidazole$5'-phosphoribosyl-4-carboxy-5-aminoimidazole$5-phosphoribosyl-4-carboxy-5-aminoimidazole$1-(5'-phosphoribosyl)-5-amino-4-imidazole carboxylate$1-(5'-phosphoribosyl)-4-carboxy-5-aminoimidazole$CAIR$5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate$phosphoribosyl-carboxy-aminoimidazole"	"(LIGAND-CPD ""C04751"" NIL |kr| 3346617700 NIL NIL)"
"MALTOHEXAOSE"	"CHEBI:27445"	"maltohexaose"	""	"C(C1(OC(C(C(C1OC2(C(C(C(C(O2)CO)OC3(C(C(C(C(O3)CO)OC4(C(C(C(C(O4)CO)O)O)O))O)O))O)O))O)O)OC5(C(OC(C(C5O)O)OC6(C(OC(C(C6O)O)O)CO))CO)))O"	"maltohexaose"	"(CAS ""34620-77-4"" NIL |kr| 3346617701 NIL NIL)$(LIGAND-CPD ""C01936"" NIL |kr| 3346617701 NIL NIL)"
"IMINOASPARTATE"	"CHEBI:50616"	"iminoaspartic acid"	"alpha-iminosuccinate"	"C(C(=O)O)C(C(=O)O)=N"	"iminoaspartate$alpha-iminosuccinate"	"(LIGAND-CPD ""C05840"" NIL |kr| 3346617700 NIL NIL)"
"CPD-8628"	"CHEBI:17851"	"m7G(5')pppAm"	""	"c6(=O)(c5([n+](C)cn([CH]4(O[CH](COP(O)(=O)OP(O)(=O)OP(=O)(O)OC[CH]3([CH](O)[CH](OC)[CH](n2(c1(ncnc(N)c1nc2)))O3))[CH](O)[CH](O)4))c5nc(N)n6))"	"m7G(5')pppAm"	"(LIGAND-CPD ""C01972"" NIL |qwan| 3371919739 NIL NIL)"
"4-AMINO-4-DEOXYCHORISMATE"	"CHEBI:18198"	"4-amino-4-deoxychorismic acid"	""	"C=C(OC1(C=C(C=CC(N)1)C(=O)O))C(=O)O"	"4-amino-4-deoxychorismate"	"(LIGAND-CPD ""C11355"" NIL |kr| 3346617700 NIL NIL)$(CAS ""97279-79-3"")"
"S-NORCOCLAURINE"	"CHEBI:18418"	"(RS)-norcoclaurine"	"1,2,3,4-tetrahydro-1-[(4-hydroxyphenyl)methyl]-6,7-isoquinolinediol"	"C1(N[CH](c2(c(C1)cc(c(c2)O)O))Cc3(ccc(cc3)O))"	"(S)-norcoclaurine$1,2,3,4-tetrahydro-1-[(4-hydroxyphenyl)methyl]-6,7-isoquinolinediol"	""
"AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP"	"CHEBI:16629"	"4-amino-2-methyl-5-diphosphomethylpyrimidine"	"4-amino-2-methyl-5-diphosphomethylpyrimidine$2-methyl-4-amino-5-hydroxymethylpyrimidine diphosphate$HMP-PP$4-amino-5-hydroxymethyl-2-methylpyrimidine-PP"	"c1(nc(nc(c1COP(OP(O)(O)=O)(O)=O)N)C)"	"4-amino-5-hydroxymethyl-2-methylpyrimidine-pyrophosphate$4-amino-2-methyl-5-diphosphomethylpyrimidine$2-methyl-4-amino-5-hydroxymethylpyrimidine diphosphate$HMP-PP$4-amino-5-hydroxymethyl-2-methylpyrimidine-PP"	"(CAS ""745-65-3"" NIL |kr| 3346617700 NIL NIL)$(LIGAND-CPD ""C04752"" NIL |kr| 3346617700 NIL NIL)$(CAS ""841-01-0"")"
"CPD-385"	"CHEBI:17253"	"1,2-benzoquinone"	""	"C1(C(C(C=CC=1)=O)=O)"	"1,2-benzoquinone"	"(CHEBI ""17253"" NIL |taltman| 3452363512 NIL NIL)$(PUBCHEM ""11421"" NIL |taltman| 3448034169 NIL NIL)$(LIGAND-CPD ""C02351"" NIL |kr| 3410284649 NIL NIL)"
"CPD-3441"	"CHEBI:71335"	"7,2'-dihydroxy-4'-methoxyisoflavanol"	"DMI"	"COc1(cc(c(cc1)[CH]2([CH](c3(ccc(cc(OC2)3)O))O))O)"	"7,2'-dihydroxy-4'-methoxy-isoflavanol$DMI"	""
"7-DEOXYLOGANIN"	"CHEBI:18370"	"7-deoxyloganin"	""	"CC2(CC[CH]3(C(=COC(OC1(OC(CO)C(O)C(O)C(O)1))[CH]23)C(=O)OC))"	"7-deoxyloganin"	""
"CPD-6642"	"CHEBI:27917"	"luteone"	"6-isopentenyl-2'-hydroxygenistein"	"CC(C)=CCc3(c(O)cc2(c(C(=O)C(c1(c(O)cc(O)cc1))=CO2)c(O)3))"	"luteone$6-isopentenyl-2'-hydroxygenistein"	""
"CPD-864"	"CHEBI:36775"	"bornane-2,5-dione"	"2,5-dioxocamphane"	"CC1(C2(CC(=O)C1CC2=O)(C))(C)"	"2,5-diketocamphane$2,5-dioxocamphane"	""
"HYPOTAURINE"	"CHEBI:16668"	"hypotaurine"	""	"C(C[N+])S(=O)=O"	"hypotaurine$Ethanesulfinic acid, 2-amino-"	"(PUBCHEM ""25244088"" NIL |taltman| 3451921010 NIL NIL)$(LIGAND-CPD ""C00519"" NIL |kaipa| 3311532638 NIL NIL)$(CAS ""300-84-5"")"
"L-GLUTAMATE-5-P"	"CHEBI:50164"	"gamma-glutamyl phosphate"	"L-gamma-glutamyl-5-phosphate$L-gamma-glutamyl-5-P$L-glutamyl-5-phosphate"	"C(C(CCC(=O)OP(=O)(O)O)N)(=O)O"	"L-glutamate-5-phosphate$L-gamma-glutamyl-5-phosphate$L-gamma-glutamyl-5-P$L-glutamyl-5-phosphate"	"(LIGAND-CPD ""C03287"" NIL |kr| 3346617699 NIL NIL)"
"PROPIONATE"	"CHEBI:30768"	"propionic acid"	"propionic acid$ethylformic acid$methylacetic acid$propanoate"	"CCC(=O)O"	"propionate$propionic acid$ethylformic acid$methylacetic acid$propanoate"	"(LIGAND-CPD ""C00163"" NIL |hopkinso| 3311948452 NIL NIL)$(CAS ""79-09-4"" NIL |hopkinso| 3311948452 NIL NIL)"
"CPD-6722"	"CHEBI:69749"	"isowighteone"	"3'-prenyl-5,7,4'-trihydroxyisoflavone"	"CC(C)=CCc1(cc(ccc(O)1)C2(C(c3(c(OC=2)cc(cc3O)O))=O))"	"isowighteone$3'-prenyl-5,7,4'-trihydroxyisoflavone"	""
"HCL"	"CHEBI:17883"	"hydrogen chloride"	"hydrogen chloride$hydrochloric acid"	"[ClH]"	"HCl$hydrogen chloride$hydrochloric acid"	""
"3-UREIDO-PROPIONATE"	"CHEBI:18261"	"N-carbamoyl-beta-alanine"	"3-Ureidopropanoate$beta-Ureidopropionic acid$N-Carbamoyl-beta-alanine"	"C(NC(=O)N)CC(O)=O"	"3-ureidopropionate$3-Ureidopropanoate$beta-Ureidopropionic acid$N-Carbamoyl-beta-alanine"	""
"MEVALONATE"	"CHEBI:25351"	"mevalonic acid"	"mevalonate$mevalonic acid"	"CC(CCO)(O)CC(=O)O"	"(R)-mevalonate$mevalonate$mevalonic acid"	"(CAS ""150-97-0"")"
"BISOHMYR-GLUCOSAMINYL-1P"	"CHEBI:16942"	"lipid X"	"2,3-diacyl-glucosamine 1-phosphate$2,3-bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate$2,3-bis(beta-hydroxymyristoyl)-beta-D-glucosaminyl 1-phosphate$lipid X"	"CCCCCCCCCCCC(O)CC(=O)NC1(C(OC(CO)C(O)C(OC(=O)CC(O)CCCCCCCCCCC)1)OP(=O)(O)O)"	"2,3-bis(3-hydroxymyristoyl)-beta-D-glucosaminyl 1-phosphate$2,3-diacyl-glucosamine 1-phosphate$2,3-bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate$2,3-bis(beta-hydroxymyristoyl)-beta-D-glucosaminyl 1-phosphate$lipid X"	"(LIGAND-CPD ""C04824"" NIL |sreddy| 3299606423 NIL NIL)"
"2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE"	"CHEBI:16273"	"2-amino-3-oxo-4-(phosphonooxy)butanoic acid"	"2-amino-3-oxo-4-phosphonooxybutyrate$L-2-amino-3-oxo-4-phosphonooxybutyrate"	"C(=O)(O)C(N)C(=O)COP(=O)(O)O"	"(2S)-2-amino-3-oxo-4-phosphonooxybutanoate$2-amino-3-oxo-4-phosphonooxybutyrate$L-2-amino-3-oxo-4-phosphonooxybutyrate"	"(PUBCHEM ""441260"" NIL |hopkinso| 3317071019 NIL NIL)"
"CPD-3622"	"CHEBI:8359"	"pratensein"	"pratensin$3'-hydroxy-biochanin A"	"COc3(ccc(C1(C(=O)c2(c(OC=1)cc(cc2O)O)))cc(O)3)"	"pratensein$pratensin$3'-hydroxy-biochanin A"	""
"BENZYLSUCCINATE"	"CHEBI:16054"	"2-benzylsuccinic acid"	"(R)-2-benzylsuccinic acid"	"c1(ccc(cc1)C[CH](CC(=O)O)C(=O)O)"	"(R)-2-benzylsuccinate$(R)-2-benzylsuccinic acid"	""
"2-AMINOMUCONATE_SEMIALDEHYDE"	"CHEBI:15745"	"2-aminomuconic 6-semialdehyde"	"2-Aminomuconate 6-semialdehyde$2-aminomuconic semialdehyde"	"[CH](C=CC=C(N)C(=O)O)=O"	"2-aminomuconate semialdehyde$2-Aminomuconate 6-semialdehyde$2-aminomuconic semialdehyde"	""
"D-HEXOSE-6-PHOSPHATE"	"CHEBI:4195"	"D-hexose 6-phosphate"	""	"C(OP(=O)(O)O)C1(OC(O)C(O)C(O)C(O)1)"	"D-hexose 6-phosphate"	""
"NN-DIMETHYLANILINE-N-OXIDE"	"CHEBI:17735"	"N,N-dimethylaniline N-oxide"	""	"CN(C)(=O)c1(ccccc1)"	"nn-dimethylaniline-n-oxide"	""
"IMIDAZOLE_ACETALDEHYDE"	"CHEBI:27398"	"imidazole-4-acetaldehyde"	"(imidazol-4-yl)acetaldehyde"	"C1(NC=NC(CC=O)=1)"	"imidazole acetaldehyde$(imidazol-4-yl)acetaldehyde"	"(CHEBI ""27398"" NIL |taltman| 3452363593 NIL NIL)$(PUBCHEM ""150841"" NIL |taltman| 3448034169 NIL NIL)$(LIGAND-CPD ""C05130"" NIL |kr| 3410284649 NIL NIL)"
"KDO"	"CHEBI:32817"	"keto-3-deoxy-D-manno-octulosonic acid"	"deoxy-manno-octulosonate$2-dehydro-3-deoxy-D-octonate$KDO$ketodeoxyoctonate"	"C(C(=O)CC(C(C(C(O)CO)O)O)O)(O)=O"	"3-deoxy-D-manno-octulosonate$deoxy-manno-octulosonate$2-dehydro-3-deoxy-D-octonate$KDO$ketodeoxyoctonate"	"(LIGAND-CPD ""C01187"" NIL |keseler| 3341775540 NIL NIL)"
"CPD-1091"	"CHEBI:27224"	"ureidoglycolic acid"	"(-)-ureidoglycolate$ureidoglycolate"	"C(C(O)=O)(O)NC(=O)N"	"(S)-ureidoglycolate$(-)-ureidoglycolate$ureidoglycolate"	"(LIGAND-CPD ""C00603"" NIL |kr| 3346617699 NIL NIL)$(CAS ""2017665"")"
"CPD-667"	"CHEBI:7671"	"O-acetylhomoserine"	"acetylhomoserine$O-acetylhomoserine"	"C(OCCC(C(O)=O)N)(C)=O"	"O-acetyl-L-homoserine$acetylhomoserine$O-acetylhomoserine"	""
"5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE"	"CHEBI:28843"	"5-amino-1-(5-phospho-D-ribosyl)imidazole"	"5-amino-1-(5-phospho-D-ribosyl)imidazole$5-aminoimidazole ribotide$AIR$1-(5'-phosphoribosyl)-5-aminoimidazole$5'-phosphoribosyl-5-aminoimidazole$phosphoribosylaminoimidazole"	"c1(ncc(N)n1C2(OC(COP(=O)(O)O)C(O)C(O)2))"	"5-aminoimidazole ribonucleotide$5-amino-1-(5-phospho-D-ribosyl)imidazole$5-aminoimidazole ribotide$AIR$1-(5'-phosphoribosyl)-5-aminoimidazole$5'-phosphoribosyl-5-aminoimidazole$phosphoribosylaminoimidazole"	"(CAS ""25635-88-5"" NIL |kr| 3346617701 NIL NIL)$(LIGAND-CPD ""C03373"" NIL |kr| 3346617701 NIL NIL)"
"4-AMINO-5-IMIDAZOLE_CARBOXYLATE"	"CHEBI:28280"	"5-aminoimidazole-4-carboxylic acid"	"5-amino-4-imidazole carboxylate"	"c1([nH]c(N)c(C(O)=O)n1)"	"4-amino-5-imidazole carboxylate$5-amino-4-imidazole carboxylate"	""
"CPD-1282"	"CHEBI:18209"	"CoM-S-S-CoB"	"CoB-S-S-CoM$Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide$Coenzyme M-HTP heterodisulfide$N-{7-[(2-sulfoethyl)dithio]heptanoyl}-3-O-phospho-L-threonine"	"C(C(NC(CCCCCCSSCCS(=O)(=O)[O-])=O)C(C)OP([O-])(=O)[O-])(=O)[O-]"	"CoB-CoM heterodisulfide$CoB-S-S-CoM$Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide$Coenzyme M-HTP heterodisulfide$N-{7-[(2-sulfoethyl)dithio]heptanoyl}-3-O-phospho-L-threonine"	"(PUBCHEM ""25246009"" NIL |taltman| 3451921010 NIL NIL)$(LIGAND-CPD ""C04832"" NIL |kr| 3410284649 NIL NIL)"
"CPD-469"	"CHEBI:29123"	"2-acetamido-5-oxopentanoate"	"N-acetylglutamate gamma-semialdehyde$N-acetyl-L-glutamate-5-semialdehyde$N-acetyl-L-glutamate semialdehyde$N-acetylglutamate semialdehyde$2-acetamido-5-oxopentanoate"	"C(C(NC(C)=O)CC[CH]=O)(O)=O"	"N-acetyl-L-glutamate 5-semialdehyde$N-acetylglutamate gamma-semialdehyde$N-acetyl-L-glutamate-5-semialdehyde$N-acetyl-L-glutamate semialdehyde$N-acetylglutamate semialdehyde$2-acetamido-5-oxopentanoate"	"(LIGAND-CPD ""C01250"" NIL |kr| 3346617701 NIL NIL)"
"1-AMINO-PROPAN-2-OL"	"CHEBI:15675"	"(2R)-1-aminopropan-2-ol"	"(R)-1-aminopropan-2-ol$D-1-amino-2-propanol$D-1-aminopropan-2-ol$aminopropanol"	"C(N)C(O)C"	"1-amino-propan-2-ol$(R)-1-aminopropan-2-ol$D-1-amino-2-propanol$D-1-aminopropan-2-ol$aminopropanol"	"(CAS ""78-96-6"")"
"DELTA3-ISOPENTENYL-PP"	"CHEBI:16584"	"isopentenyl diphosphate"	"isopentenyl-pp$isopentenyl diphosphate$IPP$delta(3)-isopentenyl-PP$isopentenyl pyrophosphate"	"CC(CCOP(OP(O)(O)=O)(O)=O)=C"	"Delta3-isopentenyl-PP$isopentenyl-pp$isopentenyl diphosphate$IPP$delta(3)-isopentenyl-PP$isopentenyl pyrophosphate"	"(LIGAND-CPD ""C00129"" NIL |keseler| 3341251572 NIL NIL)"
"CPD-3502"	"CHEBI:62734"	"2,7-dihydroxy-4'-methoxyisoflavanone"	""	"COc3(ccc(C2(C(Oc1(c(ccc(O)c1)C(=O)2))O))cc3)"	"2,7-dihydroxy-4'-methoxyisoflavanone"	""
"D-6-P-GLUCONO-DELTA-LACTONE"	"CHEBI:16938"	"6-O-phosphono-D-glucono-1,5-lactone"	"6-phosphogluconolactone$D-6-phosphoglucono-delta-lactone$D-6-P-glucono-delta-lactone$D-glucono-1,5-lactone-6-phosphate$6-phospho-D-glucono-1,5-lactone$D-6-phospho-glucono-delta-lactone"	"C(C1(OC(C(C(C1O)O)O)=O))OP(O)(O)=O"	"D-glucono-delta-lactone-6-phosphate$6-phosphogluconolactone$D-6-phosphoglucono-delta-lactone$D-6-P-glucono-delta-lactone$D-glucono-1,5-lactone-6-phosphate$6-phospho-D-glucono-1,5-lactone$D-6-phospho-glucono-delta-lactone"	"(LIGAND-CPD ""C01236"" NIL |kr| 3346617699 NIL NIL)$(CAS ""2641-81-8"")"
"XANTHINE"	"CHEBI:17712"	"9H-xanthine"	"2,6-dioxopurine"	"c2(nc1([nH]c(=O)[nH]c(=O)c1[nH]2))"	"xanthine$1-H-purine-2,6-dione, 3,7-dihydro(9CI)$2,6-dioxopurine"	"(LIGAND-CPD ""C00385"" NIL |kr| 3346617700 NIL NIL)$(CAS ""69-89-6"")"
"3-DEHYDRO-SHIKIMATE"	"CHEBI:16630"	"3-dehydroshikimate"	"3-dehydroshikimic acid$5-dehydroshikimic acid$5-dehydroshikimate"	"[CH2]1(C(=[CH]C(=O)[CH](O)[CH](O)1)C(=O)O)"	"3-dehydro-shikimate$3-dehydroshikimic acid$5-dehydroshikimic acid$5-dehydroshikimate"	"(CAS ""10457-99-5"" NIL |kr| 3346617701 NIL NIL)$(LIGAND-CPD ""C02637"" NIL |kr| 3346617701 NIL NIL)$(CAS ""2922-42-1"")"
"CPD-687"	"CHEBI:17926"	"hydrogenobyrinic acid"	"hydrogenobyrinic acid"	"CC3(C4(=C(C)C1(=NC(C(C1CCC(O)=O)(CC(=O)O)C)(C)[CH]2(NC(C(C2CC(=O)O)(C)CCC(=O)O)=C(C5(=NC(=CC(C(CCC(=O)O)3)=N4)C(C)(C)C(CCC(=O)O)5))C))))CC(=O)O"	"hydrogenobyrinate$hydrogenobyrinic acid"	""
"CPD-7228"	"CHEBI:38160"	"3''-deamino-3''-oxonicotianamine"	""	"C(C(CC[N+]1(C(CC1)C([O-])=O))[N+]CCC(C([O-])=O)=O)([O-])=O"	"3''-deamino-3''-oxonicotianamine"	"(PUBCHEM ""25201327"" NIL |taltman| 3448034169 NIL NIL)$(LIGAND-CPD ""C15486"" NIL |qwan| 3371835935 NIL NIL)"
"SHIKIMATE"	"CHEBI:16119"	"shikimic acid"	"shikimic acid"	"C1([CH2][CH]([CH](O)[CH](O)[CH]=1)O)(C(=O)O)"	"shikimate$1-cyclohexene-1-carboxylic acid, 3,4,5-trihydroxy-$shikimic acid"	"(LIGAND-CPD ""C00493"" NIL |kaipa| 3311532640 NIL NIL)$(CAS ""138-59-0"")"
"CPD-468"	"CHEBI:37024"	"2-aminoadipic acid"	"2-aminoadipic acid$hexanedioic acid, 2-amino-$2-aminoadipate$L-alpha-aminoadipate$L-alpha-aminoadipic acid$L-2-aminoadipic acid$L-2-aminoadipate"	"C(C(N)CCCC(O)=O)(O)=O"	"alpha-aminoadipate$hexanedioic acid, 2-amino-$2-aminoadipic acid$hexanedioic acid, 2-amino-$2-aminoadipate$L-alpha-aminoadipate$L-alpha-aminoadipic acid$L-2-aminoadipic acid$L-2-aminoadipate"	"(CAS ""542-32-5"")"
"CPD-6122"	"CHEBI:18945"	"diazabicyclononane"	"1,5-diazabicyclo[4.3.0]nonane"	"C1(CCNC2(CCCN12))"	"1,5-diazabicyclononane$1,5-diazabicyclo[4.3.0]nonane"	""
"DIHYDROXYNAPHTHOATE"	"CHEBI:18094"	"1,4-dihydroxy-2-naphthoic acid"	"DHNA"	"c2(ccc1(c(cc(c(c1c2)O)C(=O)O)O))"	"1,4-dihydroxy-2-naphthoate$DHNA"	"(LIGAND-CPD ""C03657"" NIL |kr| 3346617701 NIL NIL)"
"2-KETO-3-DEOXY-6-P-GLUCONATE"	"CHEBI:15925"	"2-dehydro-3-deoxy-6-phospho-D-gluconic acid"	"2-dehydro-3-deoxy-D-gluconate-6-phosphate$2-dehydro-3-deoxy-6-phospho-D-gluconate$6-phospho-2-dehydro-3-deoxy-D-gluconate$2-keto-3-deoxy-6-phosphogluconate$2-keto-3-deoxy-6-P-gluconate$6-p-2-k-3-deo-gluconate$6-phospho-2-keto-3-deoxygluconate$6-phospho-2-dehydro-3-deoxygluconate$2-keto-3-deoxygluconate-6-P"	"C([CH](O)[CH](O)[CH2]C(=O)C(O)=O)OP(=O)(O)O"	"2-keto-3-deoxy-6-phospho-gluconate$2-dehydro-3-deoxy-D-gluconate-6-phosphate$2-dehydro-3-deoxy-6-phospho-D-gluconate$6-phospho-2-dehydro-3-deoxy-D-gluconate$2-keto-3-deoxy-6-phosphogluconate$2-keto-3-deoxy-6-P-gluconate$6-p-2-k-3-deo-gluconate$6-phospho-2-keto-3-deoxygluconate$6-phospho-2-dehydro-3-deoxygluconate$2-keto-3-deoxygluconate-6-P"	"(LIGAND-CPD ""C04442"" NIL |kr| 3346617701 NIL NIL)$(CAS ""27244-54-8"")"
"AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE"	"CHEBI:15934"	"5-amino-6-(D-ribitylamino)uracil"	"4-(1-D-ribitylamino)-5-amino-2,6-dihydroxypyrimidine$4-(1-D-ribitylamino)-5-aminouracil$compound 6"	"C(Nc1(c(N)c(=O)[nH]c(=O)[nH]1))C(O)C(O)C(O)CO"	"5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione$4-(1-D-ribitylamino)-5-amino-2,6-dihydroxypyrimidine$4-(1-D-ribitylamino)-5-aminouracil$compound 6"	"(LIGAND-CPD ""C04732"" NIL |kr| 3346617700 NIL NIL)"
"TRIMETHYLAMINE"	"CHEBI:18139"	"trimethylamine"	"(CH3)3NH$(CH3)3NH+"	"CN(C)C"	"trimethylamine$N,N-dimethylmethanamine$(CH3)3NH$(CH3)3NH+"	"(LIGAND-CPD ""C00565"" NIL |kr| 3346617700 NIL NIL)$(CAS ""75-50-3"")"
"CPD-678"	"CHEBI:16503"	"selane"	"Hydrogen selenide"	"[SeH2]"	"selenide$Hydrogen selenide"	"(CAS ""531-44-2"" NIL |kr| 3346617699 NIL NIL)$(LIGAND-CPD ""C01528"" NIL |kr| 3346617699 NIL NIL)"
"L-KYNURENINE"	"CHEBI:28683"	"kynurenine"	"L-kynurenine"	"c1(ccc(C(=O)CC(N)C(=O)O)c(N)c1)"	"kynurenine$L-kynurenine"	"(CAS ""343-65-7"")"
"CPD-560"	"CHEBI:16895"	"S-methyl-5-thio-D-ribose"	"S5-methyl-5-thio-D-ribose$5-methylthio-D-ribose$MTR$S-methyl-5-thio-D-ribose"	"C1(C(C(C(O1)CSC)O)O)O"	"5-methylthioribose$S5-methyl-5-thio-D-ribose$5-methylthio-D-ribose$MTR$S-methyl-5-thio-D-ribose"	"(LIGAND-CPD ""C03089"" NIL |keseler| 3342280718 NIL NIL)$(PUBCHEM ""494"" NIL |keseler| 3342280718 NIL NIL)"
"PHOSPHO-ENOL-PYRUVATE"	"CHEBI:26055"	"phosphoenolpyruvic acid"	"P-enol-pyruvate$P-enol-pyr$PEP"	"C=C(OP(O)(O)=O)C(O)=O"	"phosphoenolpyruvate$P-enol-pyruvate$P-enol-pyr$PEP"	"(CAS ""73-89-2"")$(LIGAND-CPD ""c00074"" NIL |kawakami| 3278882364 NIL NIL)$(CAS ""138-08-9"" NIL |kr| 3346617701 NIL NIL)$(LIGAND-CPD ""C00074"" NIL |kr| 3346617701 NIL NIL)"
"4-GUANIDO-BUTYRAMIDE"	"CHEBI:18062"	"4-guanidinobutanamide"	"4-guanidinobutanamide$4-guanidobutanamide$4-guanido-butyramide$gamma-guanidinobutyramide"	"C(NC(N)=N)CCC(=O)N"	"4-guanidinobutyramide$4-guanidinobutanamide$4-guanidobutanamide$4-guanido-butyramide$gamma-guanidinobutyramide"	""
"CPD-3161"	"CHEBI:31080"	"2-hydroxy-2,3-dihydrogenistein"	"2,5,7,4'-tetrahydroxyisoflavanone$2-hydroxy-2,3-dihydrogenistein"	"C2(C(Oc1(c(c(O)cc(O)c1)C(=O)2))O)c3(ccc(cc3)O)"	"2-hydroxyisoflavanone naringenin$2,5,7,4'-tetrahydroxyisoflavanone$2-hydroxy-2,3-dihydrogenistein"	""
"N-FORMYLKYNURENINE"	"CHEBI:18377"	"N-formylkynurenine"	"N-Formyl-L-kynurenine"	"C(=O)Nc1(ccccc(C(=O)CC(N)C(=O)O)1)"	"N-formylkynurenine$N-Formyl-L-kynurenine"	"(CAS ""1022-31-7"")"
